Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled
2025-08-25 20:13:24,2025-08-27 00:07:13,UTC+05:30,2025-08-26 13:27:00,2025-08-26 13:55:29,28,Walking,6.1,179.0,155,121,88,5,0,0,0,false
2025-08-25 01:46:22,2025-08-25 20:13:24,UTC+05:30,2025-08-25 18:25:30,2025-08-25 18:41:59,16,Walking,4.3,40.0,138,101,21,0,0,0,0,false
2025-08-25 01:46:22,2025-08-25 20:13:24,UTC+05:30,2025-08-25 13:33:48,2025-08-25 13:43:39,9,Running,4.9,75.0,141,127,93,7,0,0,0,false
2025-08-23 00:06:31,2025-08-24 02:44:51,UTC+05:30,2025-08-23 21:31:39,2025-08-23 22:16:30,44,Running,7.3,289.0,173,121,94,3,1,0,0,false
2025-08-23 00:06:31,2025-08-24 02:44:51,UTC+05:30,2025-08-23 10:50:30,2025-08-23 11:12:49,22,Walking,4.3,56.0,142,90,26,1,0,0,0,false
2025-08-21 23:24:49,2025-08-23 00:06:31,UTC+05:30,2025-08-22 22:55:33,2025-08-22 23:07:38,12,Running,4.5,48.0,125,110,59,0,0,0,0,false
2025-08-21 00:34:22,2025-08-21 23:24:49,UTC+05:30,2025-08-21 20:58:44,2025-08-21 21:40:29,41,Running,5.7,174.0,132,111,73,0,0,0,0,false
2025-08-20 00:02:08,2025-08-21 00:34:22,UTC+05:30,2025-08-20 23:05:28,2025-08-20 23:28:08,22,Running,4.7,69.0,134,106,25,0,0,0,0,false
2025-08-18 22:06:12,2025-08-20 00:02:08,UTC+05:30,2025-08-19 23:03:21,2025-08-19 23:07:36,4,Running,4.1,16.0,126,110,62,0,0,0,0,false
2025-08-18 22:06:12,2025-08-20 00:02:08,UTC+05:30,2025-08-19 13:27:17,2025-08-19 13:54:02,26,Running,5.2,117.0,150,112,67,3,0,0,0,false
2025-08-18 00:26:57,2025-08-18 22:06:12,UTC+05:30,2025-08-18 18:44:51,2025-08-18 18:56:44,11,Running,4.7,66.0,132,117,93,0,0,0,0,false
2025-08-18 00:26:57,2025-08-18 22:06:12,UTC+05:30,2025-08-18 13:36:33,2025-08-18 13:45:18,8,Running,4.6,59.0,146,123,96,4,0,0,0,false
2025-08-17 00:41:56,2025-08-18 00:26:57,UTC+05:30,2025-08-17 14:00:00,2025-08-17 14:13:52,13,Stairmaster,5.6,115.0,159,130,62,31,7,0,0,false
2025-08-16 00:24:10,2025-08-17 00:41:56,UTC+05:30,2025-08-16 15:46:30,2025-08-16 17:10:26,83,Walking,7.4,327.0,141,109,63,0,0,0,0,false
2025-08-16 00:24:10,2025-08-17 00:41:56,UTC+05:30,2025-08-16 15:17:02,2025-08-16 15:28:52,11,Running,5.4,99.0,151,130,62,38,0,0,0,false
2025-08-16 00:24:10,2025-08-17 00:41:56,UTC+05:30,2025-08-16 14:31:30,2025-08-16 15:03:24,31,Walking,4.9,102.0,139,105,43,0,0,0,0,false
2025-08-15 00:49:31,2025-08-16 00:24:10,UTC+05:30,2025-08-15 20:31:27,2025-08-15 21:01:42,30,Running,8.0,276.0,162,133,43,49,8,0,0,false
2025-08-13 22:57:13,2025-08-15 00:49:31,UTC+05:30,2025-08-14 22:34:30,2025-08-14 22:52:45,18,Walking,5.2,93.0,167,115,65,3,5,1,0,false
2025-08-13 22:57:13,2025-08-15 00:49:31,UTC+05:30,2025-08-14 20:03:00,2025-08-14 20:17:00,14,Walking,4.5,55.0,136,109,65,0,0,0,0,false
2025-08-13 22:57:13,2025-08-15 00:49:31,UTC+05:30,2025-08-14 17:37:30,2025-08-14 17:53:52,16,Walking,5.0,83.0,160,114,70,1,7,0,0,false
2025-08-12 22:36:01,2025-08-13 22:57:13,UTC+05:30,2025-08-13 18:44:00,2025-08-13 18:58:00,14,Walking,5.0,72.0,173,113,76,1,1,5,0,false
